"","prod_code","title"
"1",464,"knives, not elsewhere classified"
"2",474,"tableware and accessories"
"3",604,"desks, chests, bureaus or buffets"
"4",611,"bathtubs or showers"
"5",649,"toilets"
"6",676,"rugs or carpets, not specified"
"7",679,"sofas, couches, davenports, divans or st"
"8",1141,"containers, not specified"
"9",1200,"sports or recreational activity, n.e.c."
"10",1205,"basketball (activity, apparel or equip.)"
"11",1211,"football (activity, apparel or equip.)"
"12",1233,"trampolines"
"13",1242,"slides or sliding boards"
"14",1244,"monkey bars or other playground climbing"
"15",1267,"soccer (activity, apparel or equip.)"
"16",1333,"skateboards"
"17",1615,"footwear"
"18",1616,"jewelry"
"19",1807,"floors or flooring materials"
"20",1817,"porches, balconies, open-side floors or"
"21",1819,"nails, screws, tacks or bolts"
"22",1842,"stairs or steps"
"23",1871,"fences or fence posts"
"24",1884,"ceilings and walls (part of completed st"
"25",1893,"doors, other or not specified"
"26",1894,"windows & window glass, excl storm windo"
"27",3265,"weight lifting (activity, apparel or equ"
"28",3274,"swimming (activity, apparel or equipment"
"29",3299,"exercise (activity or apparel, w/o equip"
"30",4014,"furniture, not specified"
"31",4056,"cabinets, racks, room dividers and shelv"
"32",4057,"tables, not elsewhere classified"
"33",4074,"chairs, other or not specified"
"34",4076,"beds or bedframes, other or not spec"
"35",4078,"ladders, other or not specified"
"36",5034,"softball (activity, apparel or equipment"
"37",5040,"bicycles and accessories (excl mountain"
"38",5041,"baseball (activity, apparel or equipment"
